scraped_at,listing_id,date_posted,type,title,price_sek
2026-04-27T16:35:19.271335+00:00,190673,2023-03-26,Säljes,Startplats Stockholm marathon,1500
2026-04-27T16:35:19.271335+00:00,190671,2023-03-26,Säljes,Startplats Stockholm Marathon,1500
2026-04-27T16:35:19.271335+00:00,190669,2023-03-26,Säljes,Startplats Stockholm Marathon 2026,1600
2026-04-27T16:35:19.271335+00:00,190659,2023-03-26,Säljes,Stockholm Marathon 2026,1300
2026-04-27T16:35:19.271335+00:00,190653,2022-03-26,Säljes,Stockholm Marathon 2026,1500
2026-04-27T16:35:19.271335+00:00,190613,2021-03-26,Säljes,Startplats Stockholm maraton,1600
2026-04-27T16:35:19.271335+00:00,190609,2021-03-26,Säljes,Startplats Stockholm maraton 2026,1500
2026-04-27T16:35:19.271335+00:00,190603,2021-03-26,Säljes,Stockholm Marathon,3000
2026-04-27T16:35:19.271335+00:00,190592,2020-03-26,Säljes,Startplats Stockholm maraton,1300
2026-04-27T16:35:19.271335+00:00,190591,2020-03-26,Säljes,Adidas Premiärmilen 28/3,350
2026-04-27T16:35:19.271335+00:00,190589,2020-03-26,Säljes,Stockholms Marathon,1500
2026-04-27T16:35:19.271335+00:00,190576,2019-03-26,Säljes,Stockholm marathon 2026 startplats sälje,1800
2026-04-27T16:35:19.271335+00:00,190572,2019-03-26,Säljes,Startplats Stockholm Marathon,1800
2026-04-27T16:35:19.271335+00:00,190565,2019-03-26,Säljes,Stockholm Marathon 2026,1600
2026-04-27T16:35:19.271335+00:00,190561,2019-03-26,Säljes,Sthlm Marathon 2026 2 st,1250
2026-04-27T16:35:19.271335+00:00,190560,2019-03-26,Säljes,Startplats Stockholm Marathon,1700
2026-04-27T16:35:19.271335+00:00,190510,2017-03-26,Säljes,Startplats Stockholm Marathon,1800
2026-04-27T16:35:19.271335+00:00,190455,2015-03-26,Säljes,Startplats Stockholm Marathon,1800
2026-04-27T16:35:19.271335+00:00,190453,2015-03-26,Säljes,Stockholm Maraton,1700
2026-04-27T16:35:19.271335+00:00,190428,2014-03-26,Säljes,Säljer Startplats Stockholm Marathon,1500
2026-04-27T16:35:19.271335+00:00,190404,2013-03-26,Säljes,Stockholm Marathon 2026,1295
2026-04-27T16:35:19.271335+00:00,190265,2009-03-26,Säljes,Startplats Sthlm Marathon,2000
2026-04-27T16:35:19.271335+00:00,190257,2008-03-26,Säljes,Startplats Stockholm maraton,1295
2026-04-27T16:35:19.271335+00:00,190252,2008-03-26,Säljes,Startplats Premiärhalvan,400
2026-04-27T16:35:19.271335+00:00,190199,2006-03-26,Säljes,Startplats Stockholm Marathon,1500
2026-04-27T16:35:19.271335+00:00,190170,2005-03-26,Säljes,Startplats Stockholm Marathon,1975
2026-04-27T16:35:19.271335+00:00,190167,2005-03-26,Säljes,Startplats Stockholm Maraton,2000
2026-04-27T16:35:19.271335+00:00,190164,2005-03-26,Säljes,Adidas Premiärmilen 28/3,400
2026-04-27T16:35:19.271335+00:00,190117,2002-03-26,Säljes,Stockholm marathon,1750
2026-04-27T16:35:19.271335+00:00,190106,2002-03-26,Säljes,Säljes Stockholm Marathon,1600
2026-04-27T16:35:19.271335+00:00,190103,2002-03-26,Säljes,Startplats Stockholm Maraton 2026,2300
2026-04-27T16:35:19.271335+00:00,189784,2027-02-26,Säljes,Stockholm Marathon,1400
2026-04-27T16:35:19.271335+00:00,189736,2027-02-26,Säljes,Startplats Stockholm Marathon 2026,1500
2026-04-27T16:35:19.271335+00:00,189729,2027-02-26,Säljes,Startplats Stockholm Marathon,1500
